district,year_month,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,ndvi,evi
Shimoga,2019-04-01,30.398333333333333,18.02,47.355000000000004,1.7833333333333334,39.077,22.681333333333335,,
Shimoga,2019-05-01,29.31096774193548,25.73,56.45290322580645,2.868709677419355,37.7358064516129,23.031290322580645,,
Shimoga,2019-06-01,25.96966666666667,139.9,74.44966666666667,3.731333333333333,31.459999999999997,22.222666666666665,,
Shimoga,2019-07-01,24.02741935483871,215.36,83.13612903225805,4.547741935483871,27.87548387096774,21.576451612903227,,
Shimoga,2019-08-01,23.37451612903226,332.05,86.80451612903227,4.382258064516129,26.84741935483871,21.036451612903225,,
Shimoga,2019-09-01,23.391000000000002,229.54,88.14166666666667,2.9076666666666666,27.179666666666666,20.888666666666666,,
Shimoga,2019-10-01,23.37709677419355,294.18,88.16709677419354,1.6054838709677417,27.258064516129032,20.47741935483871,,
Shimoga,2019-11-01,22.567666666666664,19.07,84.815,1.9453333333333334,27.500999999999998,18.803333333333335,,
Shimoga,2019-12-01,22.07774193548387,20.34,80.28516129032259,2.134193548387097,27.740967741935485,17.63967741935484,,
Shimoga,2020-01-01,22.554516129032255,0.16,70.78064516129032,1.6229032258064517,30.09967741935484,16.594516129032257,,
Shimoga,2020-02-01,24.357241379310345,0.34,54.02413793103448,1.8255172413793104,32.69413793103448,17.21551724137931,,
Shimoga,2020-03-01,27.449032258064516,2.1300000000000003,53.37354838709677,1.7109677419354838,36.1283870967742,20.256129032258062,,
Shimoga,2020-04-01,29.244333333333334,27.32,53.42466666666667,1.8210000000000002,37.31333333333334,22.529333333333334,,
Shimoga,2020-05-01,27.950645161290325,80.23,69.04032258064517,2.138709677419355,34.190000000000005,23.416451612903224,,
Shimoga,2020-06-01,24.50433333333333,232.43,81.131,3.6693333333333333,28.963,21.456333333333337,,
Shimoga,2020-07-01,23.42225806451613,415.82,86.64903225806451,3.282258064516129,27.28548387096774,20.8341935483871,,
Shimoga,2020-08-01,23.273870967741935,291.64,89.13548387096773,4.000322580645162,26.59161290322581,21.082903225806454,,
Shimoga,2020-09-01,22.982000000000003,307.01,89.426,2.7026666666666666,26.550333333333334,20.440333333333335,,
Shimoga,2020-10-01,22.621290322580645,298.72,89.51935483870967,1.8261290322580646,26.41548387096774,19.780322580645162,,
Shimoga,2020-11-01,21.966,18.3,85.77833333333334,2.1386666666666665,26.926,17.986333333333334,,
Shimoga,2020-12-01,20.730645161290322,17.77,81.6558064516129,2.204838709677419,26.837741935483873,16.006774193548388,,
Shimoga,2021-01-01,21.359032258064516,57.21000000000001,75.24741935483871,1.873225806451613,27.608387096774194,16.157096774193548,,
Shimoga,2021-02-01,21.802857142857142,30.89,64.40142857142857,1.8696428571428572,29.71535714285714,15.016071428571427,,
Shimoga,2021-03-01,25.98,0.81,49.34774193548387,1.7061290322580644,34.80258064516129,18.368387096774192,,
Shimoga,2021-04-01,28.110333333333333,38.68,57.943999999999996,1.5263333333333333,35.77833333333333,21.814,,
Shimoga,2021-05-01,26.121290322580645,177.88,77.49096774193548,2.370967741935484,31.238064516129032,22.43,,
Shimoga,2021-06-01,24.201,189.13,82.679,3.454333333333333,28.482333333333333,21.196666666666665,,
Shimoga,2021-07-01,23.52225806451613,348.39,86.6032258064516,4.218064516129032,27.161935483870966,21.190967741935484,,
Shimoga,2021-08-01,23.180967741935483,143.23,86.1758064516129,3.2051612903225806,27.22225806451613,20.440967741935484,,
Shimoga,2021-09-01,23.259666666666664,146.29,87.24,3.046666666666667,27.213666666666665,20.590666666666667,,
Shimoga,2021-10-01,23.67774193548387,235.84,86.86064516129032,1.4903225806451614,27.801935483870967,20.450000000000003,,
Shimoga,2021-11-01,22.473333333333336,196.84,88.625,1.7586666666666666,26.426333333333332,19.567999999999998,,
Shimoga,2021-12-01,20.771290322580644,9.89,81.0725806451613,1.7361290322580645,26.566451612903226,15.981290322580646,,
Shimoga,2022-01-01,20.937741935483874,0.13999999999999999,77.82709677419355,1.6229032258064517,27.751612903225805,15.746129032258064,,
Shimoga,2022-02-01,23.095714285714283,0.0,63.61857142857143,1.5289285714285714,31.279285714285713,16.29285714285714,,
Shimoga,2022-03-01,26.490967741935485,9.870000000000001,53.14387096774194,1.9041935483870969,34.722580645161294,19.557419354838707,,
Shimoga,2022-04-01,27.918666666666663,78.59,61.37866666666667,1.432,34.83266666666667,22.334999999999997,,
Shimoga,2022-05-01,25.475806451612904,213.28,79.64258064516129,2.623548387096774,30.82,21.720322580645163,,
Shimoga,2022-06-01,24.054666666666666,166.11,83.02199999999999,3.0866666666666664,28.490000000000002,20.983333333333334,,
Shimoga,2022-07-01,23.33451612903226,374.02,87.13419354838709,4.018709677419355,26.70225806451613,20.966451612903228,,
Shimoga,2022-08-01,22.98709677419355,341.29,88.8458064516129,3.7129032258064516,26.475483870967743,20.618709677419353,,
Shimoga,2022-09-01,22.991666666666667,163.07999999999998,88.43366666666665,2.5676666666666668,27.120333333333335,20.258333333333333,,
Shimoga,2022-10-01,22.52806451612903,115.75,85.50741935483872,1.6522580645161289,26.899032258064516,19.05806451612903,,
Shimoga,2022-11-01,21.550666666666665,25.48,82.05300000000001,1.732,27.01066666666667,17.006666666666668,,
Shimoga,2022-12-01,21.513870967741934,26.75,77.96935483870968,1.954516129032258,27.82161290322581,16.456129032258065,,
Shimoga,2023-01-01,21.06645161290323,1.1,62.38903225806452,1.84,29.61741935483871,14.079032258064515,,
Shimoga,2023-02-01,24.448214285714283,0.0,43.598571428571425,2.105,34.10035714285714,16.140357142857145,,
Shimoga,2023-03-01,26.331935483870968,0.52,45.780967741935484,2.372258064516129,35.59483870967742,18.47967741935484,,
Shimoga,2023-04-01,28.728,22.36,49.659666666666666,1.6313333333333333,37.21133333333333,21.425,,
Shimoga,2023-05-01,28.088064516129034,63.769999999999996,64.3258064516129,2.2419354838709675,35.21483870967742,22.6858064516129,,
Shimoga,2023-06-01,25.831666666666667,121.92,75.54633333333332,3.484,31.323,22.088666666666665,,
Shimoga,2023-07-01,23.759032258064515,370.54,85.47354838709677,4.678387096774194,27.35709677419355,21.37451612903226,,
Shimoga,2023-08-01,24.202903225806452,54.15,82.77677419354839,3.103548387096774,29.04290322580645,20.870967741935484,,
Shimoga,2023-09-01,23.685333333333332,147.46,85.72366666666667,2.9796666666666667,28.021666666666665,20.918,,
Shimoga,2023-10-01,24.973870967741938,19.89,74.56483870967743,1.4993548387096776,30.78258064516129,20.363548387096774,,
Shimoga,2023-11-01,24.400666666666666,82.36,75.15,1.7233333333333334,30.244666666666667,19.814,,
Shimoga,2023-12-01,23.171290322580646,6.29,67.47451612903225,2.148064516129032,30.610967741935482,17.682258064516127,,
Shimoga,2024-01-01,23.024838709677418,51.45,66.89451612903225,1.7361290322580645,30.5641935483871,17.211290322580645,,
Shimoga,2024-02-01,25.77896551724138,0.0,47.778275862068966,1.9172413793103449,35.06862068965517,18.080000000000002,,
Shimoga,2024-03-01,28.649677419354838,1.3,47.6541935483871,1.6051612903225805,37.65516129032258,20.99516129032258,,
Shimoga,2024-04-01,30.34333333333333,23.36,51.730000000000004,1.5650000000000002,38.721000000000004,23.27466666666667,,
Shimoga,2024-05-01,28.07709677419355,175.02,69.84129032258065,2.2396774193548383,34.10258064516129,23.437419354838706,,
Shimoga,2024-06-01,24.373,227.04,81.941,3.8706666666666667,28.640666666666668,21.437333333333335,,
Shimoga,2024-07-01,23.64548387096774,432.78,87.3016129032258,5.28258064516129,26.68967741935484,21.598064516129032,,
Shimoga,2024-08-01,24.00483870967742,416.8,88.79225806451613,3.0264516129032257,27.399677419354838,21.54516129032258,,
Shimoga,2024-09-01,23.438666666666666,155.61,89.04366666666667,2.8366666666666664,27.319666666666667,20.795,,
Shimoga,2024-10-01,23.989354838709676,187.22,87.22387096774193,1.3480645161290323,28.095806451612905,20.836129032258064,,
Shimoga,2024-11-01,22.31066666666667,11.959999999999999,84.21633333333332,2.0236666666666667,27.610333333333337,18.049333333333333,,
Shimoga,2024-12-01,22.338064516129034,47.63999999999999,83.30419354838709,1.817741935483871,27.609354838709677,18.280967741935484,,
Shimoga,2025-01-01,21.141612903225806,5.41,66.99838709677418,2.1500000000000004,29.21161290322581,14.759032258064517,,
Shimoga,2025-02-01,24.365714285714287,0.04,47.0075,2.0646428571428572,33.8525,16.186071428571427,,
Shimoga,2025-03-01,27.774838709677418,9.61,45.91193548387097,1.7716129032258066,36.88225806451613,20.013548387096773,,
Shimoga,2025-04-01,28.281333333333336,80.66,61.04933333333334,1.643,36.01833333333333,22.135333333333335,,
Shimoga,2025-05-01,25.76,292.53000000000003,77.37806451612904,2.9470967741935485,31.001612903225805,21.961290322580645,,
Shimoga,2025-06-01,24.18433333333333,243.2,85.39333333333335,4.109,27.926333333333332,21.580666666666666,,
Shimoga,2025-07-01,23.57677419354839,307.73,86.82064516129033,4.784193548387097,26.968387096774194,21.39290322580645,,
Shimoga,2025-08-01,22.968709677419355,286.57,88.86870967741935,3.4725806451612904,26.469032258064516,20.608387096774194,,
Shimoga,2025-09-01,23.03166666666667,103.89999999999999,88.32566666666666,2.665,27.063333333333333,20.3,,
Shimoga,2025-10-01,23.42322580645161,144.41,85.98096774193547,2.2561290322580643,28.096451612903227,20.066129032258065,,
Shimoga,2025-11-01,-132.1165,-2987.1,-77.237,-148.4725,-127.55050000000001,-135.55900000000003,,
Tumakuru,2016-11-01,24.011666666666667,1.1099999999999999,45.549,2.2083333333333335,32.899,16.408666666666665,,
Tumakuru,2016-12-01,21.219354838709677,51.11,57.30193548387096,2.3364516129032262,29.981290322580644,14.630322580645162,,
Tumakuru,2017-01-01,21.978709677419356,1.1199999999999999,51.259032258064515,2.3916129032258064,30.973225806451612,14.20032258064516,,
Tumakuru,2017-02-01,23.94857142857143,0.0,37.043214285714285,2.6639285714285714,33.86714285714286,14.791071428571428,,
Tumakuru,2017-03-01,27.234516129032258,23.88,40.682903225806456,2.1893548387096775,35.49935483870968,19.450322580645164,,
Tumakuru,2017-04-01,30.312333333333335,26.099999999999998,39.639,2.0153333333333334,37.63633333333333,23.045,,
